Abbott,Reg Abbott,C,"",4 Feb 1930,"Winnipeg, MB, CAN",http://canadiens.nhl.com/club/player.htm?id=8444854
Achtymichuk,Gene Achtymichuk,C,"",7 Sep 1932,"Lamont, AB, CAN",http://canadiens.nhl.com/club/player.htm?id=8444858
Acton,Keith Acton,C,"",15 Apr 1958,"Stouffville, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8444897
Adams,John Adams,L,"",5 May 1920,"Calgary, AB, CAN",http://canadiens.nhl.com/club/player.htm?id=8444862
Aebischer,David Aebischer,G,"",7 Feb 1978,"Fribourg, CHE",http://canadiens.nhl.com/club/player.htm?id=8466290
Aiken,Don Aiken,G,"",1 Jan 1932,"Arlington, MA, USA",http://canadiens.nhl.com/club/player.htm?id=8449785
Alexandre,Art Alexandre,L,"",2 Mar 1909,"St-Jean, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8444870
Allen,George Allen,L,"",27 Jul 1914,"Bayfield, NB, CAN",http://canadiens.nhl.com/club/player.htm?id=8444871
Allison,David Allison,D,"",14 Apr 1959,"Fort Frances, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8444917
Anderson,Doug Anderson,C,"",20 Oct 1927,"Edmonton, AB, CAN",http://canadiens.nhl.com/club/player.htm?id=8444879
Andruff,Ronald Andruff,C,"",10 Jul 1953,"Port Alberni, BC, CAN",http://canadiens.nhl.com/club/player.htm?id=8444999
Arbour,Amos Arbour,L,"",26 Jan 1895,"Waubaushene, ON, CAN",http://canadiens.nhl.com/club/player.htm?id=8444956
Arnason,Ernest Arnason,R,"",15 Jul 1951,"Dauphin, MB, CAN",http://canadiens.nhl.com/club/player.htm?id=8445089
Asham,Arron Asham,R,PIT,13 Apr 1978,"Portage La Prairie, MB, CAN",http://canadiens.nhl.com/club/player.htm?id=8465025
Asmundson,Oscar Asmundson,C,"",17 Nov 1908,"Red Deer, AB, CAN",http://canadiens.nhl.com/club/player.htm?id=8444982
Audette,Donald Audette,R,"",23 Sep 1969,"Laval, QC, CAN",http://canadiens.nhl.com/club/player.htm?id=8445176
Auld,Alex Auld,G,OTT,7 Jan 1981,"Cold Lake, AB, CAN",http://canadiens.nhl.com/club/player.htm?id=8467913
