Abbey,Monroe Abbey,"Montréal, Quebec",Order of Canada
Abella,Irving Martin Abella,"Toronto, Ontario",Order of Canada
Aberman,Arnold Aberman,"Toronto, Ontario",Order of Canada
Abraham,Alan Rockwell Abraham,"Halifax, Nova Scotia",Order of Canada
Abrahamson,Calvin David Abrahamson,"Montmartre, Saskatchewan",Order of Canada
Abramsky,Diana Hains Meltzer Abramsky,"Kingston, Ontario",Order of Canada
Ackman,Robert George Ackman,"Dartmouth, Nova Scotia",Order of Canada
Adams,Bryan Adams,Chelsea,Order of Canada
Adams,David Adams,"Stony Plain, Alberta",Order of Canada
Adams,F. Wayne Adams,"East Preston, Nova Scotia",Order of Canada
Adams,Nancy Adams,"Saskatoon, Saskatchewan",Order of Canada
Adamson,Anthony Adamson,"Toronto, Ontario",Order of Canada
Adaskin,Frances M. Adaskin,"Gibsons, British Columbia",Order of Canada
Adaskin,Harry Adaskin,"Vancouver, British Columbia",Order of Canada
Adaskin,Murray Adaskin,"Victoria, British Columbia",Order of Canada
Adkins,William Adkins,"Ottawa, Ontario",Order of Canada
Aga Khan,Aga Khan,Gouvieux,Order of Canada
Aglukark,Susan Aglukark,"Oakville, Ontario",Order of Canada
Agnew,Mary C. Agnew,"Toronto, Ontario",Order of Canada
Agrios,Jack N. Agrios,"Edmonton, Alberta",Order of Canada
Aguayo,Alberto J. Aguayo,"Westmount, Quebec",Order of Canada
Ahenakew,Freda Ahenakew,"Marcelin, Saskatchewan",Order of Canada
Ahern,Ellen Aloysia Ahern,"Gloucester, Ontario",Order of Canada
Aikenhead,Bruce Alexander Aikenhead,"Salmon Arm, British Columbia",Order of Canada
Aird,John Black Aird,"Toronto, Ontario",Order of Canada
Aitken,Robert Aitken,"Toronto, Ontario",Order of Canada
Akerley,Irvin William Akerley,"Dartmouth, Nova Scotia",Order of Canada
Aksayook,Etuangat Aksayook,"Hamlet of Pangnirtung, Northwest Territories",Order of Canada
Aksich,Madeline-Ann Aksich,"Beaconsfield, Quebec",Order of Canada
Alarie,Pierrette Alarie,"Victoria, British Columbia",Order of Canada
Alcock,Norman Z. Alcock,"Utterson, Ontario",Order of Canada
Aldana,Patricia Aldana,"Toronto, Ontario",Order of Canada
Alexander,Lincoln M. Alexander,"Hamilton, Ontario",Order of Canada
Alford,Montague E. Alford,"Whitehorse, Yukon",Order of Canada
Ali Khan,M. Azhar Ali Khan,"Ottawa, Ontario",Order of Canada
Allan,Maurice Allan,"Dorval, Quebec",Order of Canada
Allard,Jean V. Allard,"Trois-Rivières, Quebec",Order of Canada
Allen,Bertha Allen,"Inuvik, Northwest Territories",Order of Canada
Allen,Douglas E.M. Allen,"Winnipeg, Manitoba",Order of Canada
Allen,Helen Allen,"Toronto, Ontario",Order of Canada
Allen,Moyra Allen,"Ottawa, Ontario",Order of Canada
Allie,Jean-Léon Allie,"Ottawa, Ontario",Order of Canada
Allmand,W. Warren Allmand,"Montréal, Quebec",Order of Canada
Allodi,Mary Macaulay Allodi,"Toronto, Ontario",Order of Canada
Alloucherie,Jocelyne Alloucherie,"Montréal, Quebec",Order of Canada
Almond,Paul Almond,"Malibu, California",Order of Canada
Alonzo,Anne-Marie Alonzo,"Laval, Quebec",Order of Canada
Alper,Howard Alper,"Ottawa, Ontario",Order of Canada
Alsbury,J. Stewart Alsbury,"New Westminster, British Columbia",Order of Canada
Alway,Richard Martin Holden Alway,"Toronto, Ontario",Order of Canada
Amaron,Estelle Marguerite Amaron,"Toronto, Ontario",Order of Canada
Amato,Lanfranco Amato,"Toronto, Ontario",Order of Canada
Ames,Michael M. Ames,"Vancouver, British Columbia",Order of Canada
Anahareo,Anahareo,"Hefley Creek, British Columbia",Order of Canada
Anaka,Gregory Anaka,"Mississauga, Ontario",Order of Canada
Anala,Sarah Anala,"Saint John, New Brunswick",Order of Canada
Andermann,Frederick Andermann,"Hampstead, Quebec",Order of Canada
Anderson,Andrew Charles Anderson,"Lethbridge, Alberta",Order of Canada
Anderson,Anne Anderson,"Edmonton, Alberta",Order of Canada
Anderson,Boyd M. Anderson,"Glentworth, Saskatchewan",Order of Canada
Anderson,Charles Anderson,"Edmonton, Alberta",Order of Canada
Anderson,David A. Anderson,"Victoria, British Columbia",Order of Canada
Anderson,Doris Anderson,"St. Peter's, Prince Edward Island",Order of Canada
Anderson,Doris H. Anderson,"Toronto, Ontario",Order of Canada
Anderson,Garry W. Anderson,"Cranbrook, British Columbia",Order of Canada
Anderson,George D. Anderson,"Toronto, Ontario",Order of Canada
Anderson,J. Stuart Anderson,"Winnipeg, Manitoba",Order of Canada
Anderson,James Ernest Anderson,"Fredericton, New Brunswick",Order of Canada
Andr,Mathieu André,"Ville de Grasse, Quebec",Order of Canada
Andrekson,Margaret Weir Andrekson,"Edmonton, Alberta",Order of Canada
Andrews,Gerald Smedley Andrews,"Victoria, British Columbia",Order of Canada
Andrews,Ralph LeMoine Andrews,"St. John's, Newfoundland and Labrador",Order of Canada
Angel,John B. Angel,"St. John's, Newfoundland and Labrador",Order of Canada
Angelo,Mark Angelo,"Burnaby, British Columbia",Order of Canada
Angus,Henry F. Angus,"Vancouver, British Columbia",Order of Canada
Angus,Margaret Sharp Angus,"Kingston, Ontario",Order of Canada
Angus,Murray Angus,"Ottawa, Ontario",Order of Canada
Anhalt,Istvan Anhalt,"Kingston, Ontario",Order of Canada
Anka,Paul Anka,"Ottawa, Ontario",Order of Canada
Annett,Louise Cimon Annett,"Verdun, Quebec",Order of Canada
Anoee,Eric Anoee,"Eskimo Point, Northwest Territories",Order of Canada
Anselmo,Anthony G. Anselmo,"Calgary, Alberta",Order of Canada
Antaki,Nabil N. Antaki,"Outremont, Quebec",Order of Canada
Antoft,Kell Antoft,"Halifax, Nova Scotia",Order of Canada
Appel,Bluma Appel,"Toronto, Ontario",Order of Canada
Applebaum,Louis Applebaum,"Don Mills, Ontario",Order of Canada
Appleyard,Peter Appleyard,"Rockwood, Ontario",Order of Canada
Apps,C.J. Sylvanus Apps,"Kingston, Ontario",Order of Canada
April,Raymonde April,"Montréal, Quebec",Order of Canada
Apsey,T.M. (Mike) Apsey,"Victoria, British Columbia",Order of Canada
Arbour,Louise Arbour,"Toronto, Ontario",Order of Canada
Arbour,Madeleine Marie Gertrude Arbour,"Île-Perrot, Quebec",Order of Canada
Arbour,Roméo Arbour,"Ottawa, Ontario",Order of Canada
Arcand,Georges-Henri Denys Arcand,"Westmount, Quebec",Order of Canada
Arcand,Jean-Baptiste (John) Arcand,"Saskatoon, Saskatchewan",Order of Canada
Archambault,Camille Archambault,"St-Sauveur-des-Monts, Quebec",Order of Canada
Archambault,Louis Archambault,"Montréal, Quebec",Order of Canada
Archer,David B. Archer,"Toronto, Ontario",Order of Canada
Archer,John H. Archer,"Regina, Saskatchewan",Order of Canada
Archer,Maurice G. Archer,"Knowlton, Quebec",Order of Canada
Archer,Violet B. Archer,"Edmonton, Alberta",Order of Canada
Archibald,Adams Gordon Archibald,"Halifax, Nova Scotia",Order of Canada
Archibald,Donald C. Archibald,"Toronto, Ontario",Order of Canada
Archibald,Edgar S. Archibald,"Ottawa, Ontario",Order of Canada
Archibald,H. David Archibald,"Mississauga, Ontario",Order of Canada
Arès,Georges A. Arès,"Sherwood Park, Alberta",Order of Canada
Arès,Richard Arès,"Montréal, Quebec",Order of Canada
Arkinstall,Margaret Arkinstall,"Newmarket, Ontario",Order of Canada
Armenian,Raffi Armenian,"Verdun, Quebec",Order of Canada
Armour,Margaret-Ann Armour,"Edmonton, Alberta",Order of Canada
Armstrong,Bromley Lloyd Armstrong,"Pickering, Ontario",Order of Canada
Armstrong,Cathryne H. Armstrong,"Saanichton, British Columbia",Order of Canada
Armstrong,Elsje Armstrong,"Vancouver, British Columbia",Order of Canada
Armstrong,Gordon W.D. Armstrong,"Ottawa, Ontario",Order of Canada
Armstrong,Jack Armstrong,"Winnipeg, Manitoba",Order of Canada
Armstrong,John A. Armstrong,"Nanaimo, British Columbia",Order of Canada
Armstrong,Neil Mackenzie Armstrong,"Canmore, Alberta",Order of Canada
Armstrong,Sally Wishart Armstrong,"Toronto, Ontario",Order of Canada
Armstrong,Susan Margaret Armstrong,"Île-Perrot, Quebec",Order of Canada
Armstrong,William M. Armstrong,"Vancouver, British Columbia",Order of Canada
Arnell,Gordon E. Arnell,"Calgary, Alberta",Order of Canada
Arnold,Abraham J. Arnold,"Winnipeg, Manitoba",Order of Canada
Arnold,Islay M. Arnold,"Lethbridge, Alberta",Order of Canada
Arnup,John Douglas Arnup,"Don Mills, Ontario",Order of Canada
Arsenault,Angèle Arsenault,"Slemon Park, Prince Edward Island",Order of Canada
Arsenault,Bona Arsenault,"Sillery, Quebec",Order of Canada
